Quantity,Hardware Description with Size,Grade,Length (in)
18,SS M12x1.75 Hex Bolt,ASTM B8 Class 1,10.915
157,"SS 3/4""-10 Hex Bolt",ASTM A490,19.17
180,"A563 3/4"" Heavy Hex Nut",ASTM A307 Grade A,18.938
178,"ASTM F1554 5/8"" Anchor Bolt",ASTM A354 Grade BC,3.76
34,"SS 3/4""-10 Hex Bolt",ASTM A490,14.976
110,"Aluminum 5/8"" Turnbuckle",SAE Grade 5,15.366
5,"Aluminum 3/4"" Turnbuckle",ASTM A354 Grade BC,0.71
87,"Aluminum 5/8"" Turnbuckle",SAE Grade 8,1.473
42,"ASTM A307 1/2"" All Thread Rod",ASTM F1554 Grade 55,16.169
71,"Steel 3/4"" Turnbuckle",SAE Grade 5,10.534
152,ASTM A307 M12 All Thread Rod,ASTM A325,5.591
9,"ASTM A449 1/2"" Stud",ASTM B8M Class 2,6.054
105,"Aluminum 5/8"" Turnbuckle",SAE J429 Grade 2,11.017
6,"SS 3/4""-10 Hex Bolt",ASTM A354 Grade BC,16.525
187,SS M10x1.5 Hex Bolt,ASTM B8 Class 1,15.032
171,"A563 5/8"" Heavy Hex Nut",SAE J429 Grade 8,14.968
88,ASTM A307 M12 All Thread Rod,SAE Grade 5,7.839
88,"Steel 3/4"" Turnbuckle",ASTM A354 Grade BD,18.835
55,SS M10x1.5 Hex Bolt,ASTM A490,18.507
62,"ASTM A307 1/2"" All Thread Rod",ASTM A490,19.732
37,"SS 3/4"" Flat Washer",ASTM B8 Class 1,4.276
95,"SS 5/8""-11 Hex Bolt",SAE J429 Grade 2,12.068
98,ASTM A307 M12 All Thread Rod,SAE J429 Grade 5,3.005
53,"ASTM A449 1/2"" Stud",ASTM A354 Grade BC,13.433
186,"ASTM A502 1/2"" Solid Rivet",SAE Grade 8,17.773
158,SS M8x1.25 Hex Bolt,ASTM F1554 Grade 105,14.098
185,"SS 1""-8 Hex Bolt",SAE Grade 8,17.479
46,"SS 1/4""-20 Hex Bolt",SAE J429 Grade 8,6.032
61,"SS 3/8""-16 Hex Bolt",SAE Grade 5,18.004
186,"ASTM A449 3/4"" Stud",ASTM A354 Grade BC,17.174
95,ASTM A307 M12 All Thread Rod,ASTM A490,5.452
135,"ASTM A307 3/4"" All Thread Rod",ASTM B8M Class 2,5.628
109,"ASTM A502 3/4"" Solid Rivet",ASTM F1554 Grade 36,19.338
152,SS M10x1.5 Hex Bolt,ASTM B8M Class 2,12.023
131,"Steel 3/4"" Turnbuckle",SAE Grade 5,15.052
85,"SS 3/4"" Flat Washer",ASTM F1554 Grade 36,12.88
31,"SS 1/2""-13 Hex Bolt",ASTM B8M Class 2,4.876
176,"Aluminum 5/8"" Turnbuckle",ASTM A490,16.925
149,"ASTM F1554 3/4"" Anchor Bolt",ASTM B8M Class 2,12.868
73,"ASTM A449 3/4"" Stud",ASTM F1554 Grade 36,16.547
171,"ASTM F1554 5/8"" Anchor Bolt",ASTM A307 Grade A,17.12
108,SS M8x1.25 Hex Bolt,ASTM A354 Grade BC,1.1
36,"Aluminum 3/4"" Turnbuckle",ASTM F1554 Grade 55,5.274
131,"ASTM A502 3/4"" Solid Rivet",ASTM A307 Grade B,17.683
77,"ASTM A502 3/4"" Solid Rivet",ASTM F1554 Grade 36,1.668
86,"ASTM A502 1/2"" Solid Rivet",SAE Grade 8,8.074
24,"SS 3/4"" Flat Washer",ASTM A354 Grade BD,2.757
144,"ASTM A307 3/4"" All Thread Rod",SAE Grade 5,4.583
143,"SS 3/4"" Flat Washer",ASTM F1554 Grade 105,4.265
120,"SS 1/2"" Flat Washer",SAE Grade 5,13.419
107,"A563 5/8"" Heavy Hex Nut",SAE Grade 8,14.292
153,"SS 3/4"" Flat Washer",SAE J429 Grade 2,10.627
136,SS M10x1.5 Hex Bolt,ASTM A354 Grade BC,11.548
87,"A563 3/4"" Heavy Hex Nut",ASTM F1554 Grade 105,9.159
67,"ASTM A502 1/2"" Solid Rivet",SAE J429 Grade 2,1.222
33,"ASTM A449 1/2"" Stud",ASTM B8 Class 1,14.226
95,"ASTM F1554 5/8"" Anchor Bolt",SAE Grade 5,14.728
78,"ASTM A502 1/2"" Solid Rivet",ASTM B8 Class 1,8.756
185,"ASTM A449 1/2"" Stud",ASTM F1554 Grade 55,19.878
111,SS M12x1.75 Hex Bolt,ASTM A354 Grade BC,4.277
6,"ASTM A307 1/2"" All Thread Rod",SAE Grade 5,11.122
65,"SS 3/4"" Flat Washer",ASTM A354 Grade BC,6.67
53,SS M8x1.25 Hex Bolt,SAE Grade 8,9.498
160,"SS 3/4""-10 Hex Bolt",SAE Grade 8,6.709
43,"Aluminum 5/8"" Turnbuckle",ASTM A354 Grade BD,8.338
64,"ASTM A502 3/4"" Solid Rivet",ASTM A354 Grade BC,2.948
136,"SS 1/2""-13 Hex Bolt",ASTM A325,16.704
69,"ASTM F1554 3/4"" Anchor Bolt",ASTM A354 Grade BC,17.488
112,"SS 3/4""-10 Hex Bolt",ASTM F1554 Grade 105,7.716
106,"ASTM A502 3/4"" Solid Rivet",ASTM F1554 Grade 55,14.248
54,"SS 1/2"" Flat Washer",ASTM F1554 Grade 105,0.486
180,SS M16x2.0 Hex Bolt,ASTM F1554 Grade 105,7.992
127,"ASTM A502 3/4"" Solid Rivet",SAE J429 Grade 5,3.018
48,"SS 3/4""-10 Hex Bolt",ASTM A307 Grade B,19.383
30,"ASTM F1554 5/8"" Anchor Bolt",ASTM B8 Class 1,15.511
190,"SS 1/2"" Flat Washer",SAE J429 Grade 2,0.939
100,SS M12x1.75 Hex Bolt,ASTM F1554 Grade 36,10.814
153,"SS 1/2""-13 Hex Bolt",ASTM A307 Grade A,17.302
36,"ASTM F1554 5/8"" Anchor Bolt",ASTM F1554 Grade 36,9.976
2,"SS 1""-8 Hex Bolt",SAE J429 Grade 8,6.389
170,SS M10x1.5 Hex Bolt,SAE J429 Grade 5,11.867
39,"SS 1/2""-13 Hex Bolt",SAE Grade 8,6.857
104,"SS 1/4""-20 Hex Bolt",ASTM A490,12.629
91,"ASTM A449 1/2"" Stud",ASTM F1554 Grade 55,18.87
181,"ASTM A502 1/2"" Solid Rivet",SAE Grade 5,9.941
155,"ASTM A502 1/2"" Solid Rivet",SAE J429 Grade 2,5.671
175,"ASTM A502 3/4"" Solid Rivet",ASTM A307 Grade A,4.1
40,"SS 1/2"" Flat Washer",ASTM A354 Grade BC,19.644
139,"SS 3/4"" Flat Washer",SAE Grade 5,19.581
74,"Steel 5/8"" Turnbuckle",ASTM A325,13.337
183,"ASTM A307 3/4"" All Thread Rod",SAE J429 Grade 5,8.017
92,"Steel 3/4"" Turnbuckle",SAE J429 Grade 2,12.32
169,"SS 1""-8 Hex Bolt",ASTM A307 Grade A,18.197
66,"SS 3/4""-10 Hex Bolt",ASTM A307 Grade A,18.138
70,ASTM A307 M12 All Thread Rod,SAE Grade 5,14.348
96,SS M8x1.25 Hex Bolt,SAE J429 Grade 2,6.269
86,"A563 5/8"" Heavy Hex Nut",SAE Grade 8,17.201
159,"ASTM A449 3/4"" Stud",ASTM F1554 Grade 105,5.722
131,"ASTM A449 1/2"" Stud",ASTM A325,0.321
5,"ASTM A502 1/2"" Solid Rivet",ASTM B8 Class 1,18.572
158,"ASTM A502 1/2"" Solid Rivet",SAE J429 Grade 2,8.976
78,"ASTM F1554 5/8"" Anchor Bolt",ASTM F1554 Grade 36,4.531
154,SS M8x1.25 Hex Bolt,ASTM A354 Grade BD,18.557
11,ASTM A307 M12 All Thread Rod,ASTM B8M Class 2,16.762
106,SS M12x1.75 Hex Bolt,SAE J429 Grade 2,4.209
71,"A563 3/4"" Heavy Hex Nut",ASTM A354 Grade BC,0.335
190,SS M12x1.75 Hex Bolt,SAE Grade 8,9.107
70,"SS 1/2"" Flat Washer",ASTM A307 Grade B,18.313
72,"SS 1""-8 Hex Bolt",ASTM B8M Class 2,9.862
54,SS M8x1.25 Hex Bolt,ASTM B8M Class 2,19.862
56,"ASTM A502 1/2"" Solid Rivet",ASTM A354 Grade BD,16.161
8,"Aluminum 5/8"" Turnbuckle",ASTM A354 Grade BC,14.861
176,"Steel 3/4"" Turnbuckle",ASTM F1554 Grade 36,16.466
24,"SS 1/4""-20 Hex Bolt",ASTM A307 Grade B,13.903
65,"SS 5/8""-11 Hex Bolt",ASTM A307 Grade B,14.28
98,"SS 1/2"" Flat Washer",SAE Grade 5,4.662
174,"SS 3/4"" Flat Washer",ASTM A490,6.588
113,"ASTM F1554 5/8"" Anchor Bolt",ASTM F1554 Grade 36,10.316
26,"Aluminum 3/4"" Turnbuckle",ASTM B8 Class 1,2.111
72,"SS 5/8""-11 Hex Bolt",ASTM B8 Class 1,0.973
24,"A563 3/4"" Heavy Hex Nut",ASTM F1554 Grade 36,14.262
42,"SS 1/4""-20 Hex Bolt",ASTM A490,1.445
125,"ASTM A449 3/4"" Stud",SAE Grade 8,15.131
50,"Steel 3/4"" Turnbuckle",SAE Grade 5,16.496
107,"SS 5/8""-11 Hex Bolt",SAE Grade 8,0.106
154,"SS 3/8""-16 Hex Bolt",SAE J429 Grade 8,8.811
23,"Steel 5/8"" Turnbuckle",ASTM B8M Class 2,2.307
143,"SS 5/8""-11 Hex Bolt",ASTM A307 Grade B,14.981
149,"Aluminum 3/4"" Turnbuckle",SAE Grade 5,19.004
100,"A563 3/4"" Heavy Hex Nut",ASTM B8M Class 2,19.302
184,"ASTM F1554 3/4"" Anchor Bolt",SAE Grade 8,7.762
120,"ASTM F1554 3/4"" Anchor Bolt",ASTM F1554 Grade 105,2.503
43,"Aluminum 3/4"" Turnbuckle",ASTM A490,7.663
185,"SS 5/8""-11 Hex Bolt",ASTM A354 Grade BC,16.435
189,"ASTM A307 3/4"" All Thread Rod",ASTM B8M Class 2,5.598
132,"ASTM A449 1/2"" Stud",SAE J429 Grade 5,8.671
52,"SS 1/2""-13 Hex Bolt",SAE Grade 5,0.528
161,"SS 3/4""-10 Hex Bolt",ASTM A307 Grade A,10.431
190,"Aluminum 5/8"" Turnbuckle",ASTM F1554 Grade 55,15.396
84,"SS 3/4""-10 Hex Bolt",ASTM F1554 Grade 105,6.593
21,SS M12x1.75 Hex Bolt,ASTM F1554 Grade 55,10.116
76,"Steel 3/4"" Turnbuckle",SAE J429 Grade 2,11.941
193,"SS 3/8""-16 Hex Bolt",ASTM F1554 Grade 55,18.897
29,SS M16x2.0 Hex Bolt,ASTM A354 Grade BD,4.769
166,"SS 3/4"" Flat Washer",SAE J429 Grade 5,19.434
65,"SS 1/2""-13 Hex Bolt",SAE J429 Grade 8,16.329
188,"SS 1/2""-13 Hex Bolt",ASTM A307 Grade B,0.954
123,"ASTM A307 1/2"" All Thread Rod",ASTM A307 Grade B,6.718
169,"SS 1""-8 Hex Bolt",ASTM A354 Grade BD,4.188
49,"Aluminum 3/4"" Turnbuckle",ASTM A354 Grade BD,14.243
8,"A563 5/8"" Heavy Hex Nut",ASTM A354 Grade BC,17.577
170,SS M12x1.75 Hex Bolt,SAE Grade 5,11.182
19,"A563 3/4"" Heavy Hex Nut",ASTM A307 Grade A,19.181
124,"SS 1""-8 Hex Bolt",ASTM B8 Class 1,18.607
83,SS M12x1.75 Hex Bolt,ASTM B8 Class 1,4.909
141,"SS 1""-8 Hex Bolt",SAE Grade 5,3.743
199,SS M12x1.75 Hex Bolt,ASTM A354 Grade BD,15.118
169,"SS 1/4""-20 Hex Bolt",SAE Grade 8,13.879
160,SS M8x1.25 Hex Bolt,SAE Grade 8,2.661
69,"SS 5/8""-11 Hex Bolt",ASTM F1554 Grade 36,8.009
164,"ASTM A307 1/2"" All Thread Rod",SAE Grade 5,9.596
149,"Steel 3/4"" Turnbuckle",ASTM A325,2.228
11,"SS 3/4""-10 Hex Bolt",ASTM B8 Class 1,12.485
163,SS M12x1.75 Hex Bolt,ASTM A490,19.659
9,SS M12x1.75 Hex Bolt,SAE J429 Grade 2,17.919
55,SS M12x1.75 Hex Bolt,ASTM A325,13.19
141,"Aluminum 5/8"" Turnbuckle",SAE J429 Grade 2,10.478
143,"SS 1""-8 Hex Bolt",SAE J429 Grade 2,12.177
80,"SS 3/4"" Flat Washer",SAE J429 Grade 5,7.417
5,"A563 5/8"" Heavy Hex Nut",SAE J429 Grade 2,11.159
133,SS M8x1.25 Hex Bolt,SAE J429 Grade 8,10.988
113,ASTM A307 M12 All Thread Rod,ASTM A307 Grade B,5.119
38,"A563 3/4"" Heavy Hex Nut",ASTM B8M Class 2,2.624
197,"SS 1/4""-20 Hex Bolt",ASTM B8M Class 2,14.915
155,"ASTM F1554 3/4"" Anchor Bolt",SAE Grade 5,10.387
144,"Aluminum 3/4"" Turnbuckle",ASTM F1554 Grade 36,1.396
77,"ASTM A307 3/4"" All Thread Rod",ASTM B8 Class 1,15.371
33,"ASTM A502 1/2"" Solid Rivet",ASTM A354 Grade BC,19.294
139,"SS 1/2""-13 Hex Bolt",ASTM A490,4.893
142,"A563 5/8"" Heavy Hex Nut",SAE Grade 8,12.216
46,"SS 1""-8 Hex Bolt",ASTM A307 Grade A,11.266
74,"ASTM A502 1/2"" Solid Rivet",SAE J429 Grade 2,6.272
177,"ASTM A449 3/4"" Stud",ASTM F1554 Grade 55,4.588
148,"Aluminum 3/4"" Turnbuckle",SAE J429 Grade 5,5.271
115,SS M16x2.0 Hex Bolt,ASTM F1554 Grade 36,7.335
86,"ASTM F1554 3/4"" Anchor Bolt",ASTM A307 Grade B,19.26
127,"ASTM A502 1/2"" Solid Rivet",ASTM A307 Grade B,14.86
62,"SS 3/8""-16 Hex Bolt",SAE J429 Grade 5,19.091
192,"ASTM F1554 3/4"" Anchor Bolt",ASTM B8 Class 1,15.214
182,"Aluminum 3/4"" Turnbuckle",SAE J429 Grade 2,4.661
156,"SS 3/4""-10 Hex Bolt",ASTM F1554 Grade 55,5.392
23,"A563 5/8"" Heavy Hex Nut",ASTM A307 Grade A,15.326
106,"Aluminum 3/4"" Turnbuckle",ASTM B8M Class 2,0.867
4,"ASTM F1554 3/4"" Anchor Bolt",SAE J429 Grade 8,15.635
179,SS M12x1.75 Hex Bolt,ASTM A325,16.92
8,"ASTM F1554 5/8"" Anchor Bolt",ASTM A307 Grade B,2.646
127,"SS 3/4""-10 Hex Bolt",ASTM A307 Grade A,3.778
20,"ASTM A502 1/2"" Solid Rivet",ASTM B8M Class 2,16.215
106,"ASTM F1554 5/8"" Anchor Bolt",ASTM A307 Grade B,14.287
39,"SS 1/2"" Flat Washer",SAE J429 Grade 8,18.569
85,"ASTM A449 1/2"" Stud",SAE J429 Grade 8,17.854
155,"ASTM A449 1/2"" Stud",SAE J429 Grade 5,16.396
81,"A563 5/8"" Heavy Hex Nut",ASTM B8M Class 2,6.74
175,SS M12x1.75 Hex Bolt,ASTM F1554 Grade 55,12.317
99,"ASTM A502 3/4"" Solid Rivet",ASTM F1554 Grade 36,3.986
160,"SS 1/4""-20 Hex Bolt",ASTM A490,6.388
21,"A563 5/8"" Heavy Hex Nut",ASTM A325,0.527
17,"A563 3/4"" Heavy Hex Nut",SAE Grade 5,1.364
163,"ASTM A449 3/4"" Stud",SAE J429 Grade 2,3.221
155,SS M12x1.75 Hex Bolt,ASTM A325,0.746
73,"ASTM F1554 3/4"" Anchor Bolt",ASTM A307 Grade B,16.141
14,"Aluminum 3/4"" Turnbuckle",ASTM F1554 Grade 55,16.134
96,SS M10x1.5 Hex Bolt,SAE J429 Grade 2,7.018
50,"A563 3/4"" Heavy Hex Nut",ASTM A354 Grade BD,4.099
21,"ASTM A502 3/4"" Solid Rivet",SAE Grade 5,17.984
56,"SS 5/8""-11 Hex Bolt",ASTM A490,11.66
131,"SS 1""-8 Hex Bolt",ASTM A325,11.493
186,ASTM A307 M12 All Thread Rod,ASTM A307 Grade B,15.03
44,"Aluminum 3/4"" Turnbuckle",ASTM A325,0.772
50,SS M8x1.25 Hex Bolt,ASTM A307 Grade A,4.257
15,"ASTM F1554 3/4"" Anchor Bolt",SAE J429 Grade 5,8.809
164,"Aluminum 5/8"" Turnbuckle",ASTM A490,19.444
92,SS M10x1.5 Hex Bolt,ASTM F1554 Grade 105,18.126
154,"Steel 5/8"" Turnbuckle",ASTM F1554 Grade 55,1.939
1,SS M10x1.5 Hex Bolt,SAE J429 Grade 5,19.439
31,"A563 3/4"" Heavy Hex Nut",ASTM A490,12.296
197,"ASTM A449 1/2"" Stud",SAE J429 Grade 5,15.513
142,"SS 3/8""-16 Hex Bolt",SAE J429 Grade 8,12.857
46,"SS 3/4"" Flat Washer",ASTM A354 Grade BC,14.699
37,"A563 3/4"" Heavy Hex Nut",ASTM A307 Grade B,18.211
15,"ASTM A307 3/4"" All Thread Rod",SAE Grade 5,16.267
12,"SS 1""-8 Hex Bolt",ASTM A354 Grade BD,12.429
54,ASTM A307 M12 All Thread Rod,ASTM F1554 Grade 55,1.561
97,"ASTM A449 3/4"" Stud",SAE J429 Grade 8,15.665
173,SS M10x1.5 Hex Bolt,ASTM A307 Grade B,8.204
82,"ASTM F1554 5/8"" Anchor Bolt",ASTM A325,13.669
14,"Steel 3/4"" Turnbuckle",ASTM F1554 Grade 105,19.639
181,"SS 1/2"" Flat Washer",ASTM A325,1.228
162,"SS 3/4""-10 Hex Bolt",ASTM A354 Grade BD,10.895
160,"ASTM A449 1/2"" Stud",SAE Grade 8,2.394
187,"Steel 5/8"" Turnbuckle",ASTM F1554 Grade 105,10.003
83,"Steel 5/8"" Turnbuckle",SAE Grade 8,13.204
186,SS M16x2.0 Hex Bolt,ASTM A354 Grade BC,14.766
159,"Aluminum 5/8"" Turnbuckle",SAE Grade 5,15.045
60,"ASTM A307 1/2"" All Thread Rod",ASTM A325,8.764
16,"SS 3/8""-16 Hex Bolt",SAE Grade 5,9.251
14,"ASTM A502 3/4"" Solid Rivet",SAE J429 Grade 8,8.806
172,"Aluminum 3/4"" Turnbuckle",ASTM A325,18.962
66,"SS 3/8""-16 Hex Bolt",SAE Grade 8,4.666
106,"SS 3/4""-10 Hex Bolt",ASTM A354 Grade BD,6.478
132,"SS 3/4"" Flat Washer",SAE J429 Grade 2,5.125
184,ASTM A307 M12 All Thread Rod,ASTM B8 Class 1,16.432
70,"SS 3/8""-16 Hex Bolt",ASTM A307 Grade B,16.018
138,ASTM A307 M12 All Thread Rod,ASTM F1554 Grade 36,0.493
70,"ASTM F1554 5/8"" Anchor Bolt",ASTM A307 Grade B,12.131
113,"SS 3/8""-16 Hex Bolt",SAE J429 Grade 8,16.807
148,ASTM A307 M12 All Thread Rod,ASTM B8 Class 1,17.042
70,"A563 5/8"" Heavy Hex Nut",ASTM F1554 Grade 36,14.318
100,"A563 3/4"" Heavy Hex Nut",SAE J429 Grade 8,10.869
85,"ASTM A502 3/4"" Solid Rivet",ASTM F1554 Grade 105,7.396
105,"A563 5/8"" Heavy Hex Nut",ASTM B8 Class 1,10.462
28,"SS 1""-8 Hex Bolt",ASTM B8M Class 2,2.559
71,"SS 5/8""-11 Hex Bolt",SAE J429 Grade 5,11.47
131,"SS 5/8""-11 Hex Bolt",ASTM A325,15.496
139,"SS 5/8""-11 Hex Bolt",ASTM A354 Grade BD,11.148
115,"SS 1/4""-20 Hex Bolt",SAE Grade 5,16.042
109,SS M8x1.25 Hex Bolt,ASTM F1554 Grade 105,9.16
48,"Aluminum 5/8"" Turnbuckle",ASTM F1554 Grade 36,2.543
146,"SS 1/2""-13 Hex Bolt",ASTM B8 Class 1,3.787
137,ASTM A307 M12 All Thread Rod,SAE Grade 8,12.73
195,"Aluminum 5/8"" Turnbuckle",ASTM F1554 Grade 105,17.934
154,"Aluminum 3/4"" Turnbuckle",ASTM B8M Class 2,11.702
137,"SS 5/8""-11 Hex Bolt",ASTM A307 Grade A,5.751
54,"ASTM A449 3/4"" Stud",ASTM B8M Class 2,14.453
53,"SS 1""-8 Hex Bolt",ASTM B8 Class 1,5.8
197,"SS 1/2""-13 Hex Bolt",ASTM A307 Grade B,12.976
111,"ASTM A502 3/4"" Solid Rivet",ASTM A325,4.445
101,"ASTM F1554 5/8"" Anchor Bolt",ASTM B8 Class 1,6.439
104,"SS 5/8""-11 Hex Bolt",SAE J429 Grade 8,12.808
6,"SS 3/8""-16 Hex Bolt",ASTM A307 Grade A,0.461
42,"Aluminum 3/4"" Turnbuckle",SAE J429 Grade 8,18.784
78,SS M10x1.5 Hex Bolt,ASTM F1554 Grade 55,10.4
111,SS M10x1.5 Hex Bolt,ASTM B8 Class 1,1.13
142,"SS 3/8""-16 Hex Bolt",ASTM A354 Grade BC,6.088
33,"ASTM A449 3/4"" Stud",SAE J429 Grade 5,18.137
161,"ASTM A502 1/2"" Solid Rivet",ASTM A307 Grade A,9.31
84,"ASTM A307 3/4"" All Thread Rod",SAE J429 Grade 5,2.419
181,"ASTM A502 1/2"" Solid Rivet",ASTM A325,16.645
156,"ASTM A307 3/4"" All Thread Rod",ASTM A307 Grade B,19.646
150,"SS 3/8""-16 Hex Bolt",ASTM A354 Grade BD,4.751
182,"Aluminum 5/8"" Turnbuckle",ASTM F1554 Grade 105,12.794
109,"SS 1/2""-13 Hex Bolt",ASTM A325,6.634
157,"ASTM A307 3/4"" All Thread Rod",SAE Grade 8,14.318
40,"Steel 5/8"" Turnbuckle",ASTM A325,19.903
51,SS M16x2.0 Hex Bolt,ASTM F1554 Grade 55,17.385
129,"ASTM A307 1/2"" All Thread Rod",ASTM B8M Class 2,4.23
71,"SS 5/8""-11 Hex Bolt",ASTM A354 Grade BD,19.433
173,"SS 1/4""-20 Hex Bolt",ASTM A307 Grade B,17.972
72,"SS 1""-8 Hex Bolt",ASTM B8M Class 2,14.469
38,"ASTM A449 3/4"" Stud",ASTM F1554 Grade 36,12.786
102,"Steel 3/4"" Turnbuckle",ASTM B8 Class 1,16.939
77,"ASTM A449 3/4"" Stud",ASTM A307 Grade B,9.442
15,"ASTM A502 3/4"" Solid Rivet",ASTM A307 Grade B,14.354
25,"SS 5/8""-11 Hex Bolt",ASTM A307 Grade A,2.882
11,"ASTM A502 1/2"" Solid Rivet",ASTM A307 Grade A,4.188
49,"SS 3/4"" Flat Washer",ASTM F1554 Grade 55,4.527
152,"SS 3/8""-16 Hex Bolt",ASTM B8 Class 1,4.03
112,"SS 1/2"" Flat Washer",ASTM F1554 Grade 36,1.799
86,"ASTM A502 1/2"" Solid Rivet",SAE J429 Grade 8,13.695
182,"Aluminum 5/8"" Turnbuckle",ASTM A307 Grade A,17.43
196,"Steel 3/4"" Turnbuckle",ASTM F1554 Grade 55,10.865
94,"ASTM F1554 3/4"" Anchor Bolt",ASTM A307 Grade A,16.103
191,"Steel 3/4"" Turnbuckle",SAE J429 Grade 8,15.444
98,"ASTM A449 3/4"" Stud",ASTM F1554 Grade 55,5.421
25,"ASTM A307 3/4"" All Thread Rod",ASTM F1554 Grade 105,3.558
34,SS M12x1.75 Hex Bolt,ASTM F1554 Grade 105,1.197
164,"A563 5/8"" Heavy Hex Nut",ASTM F1554 Grade 55,5.477
14,SS M8x1.25 Hex Bolt,ASTM B8M Class 2,18.083
174,"ASTM A449 1/2"" Stud",ASTM A490,0.13
161,"SS 5/8""-11 Hex Bolt",ASTM A354 Grade BC,0.688
81,"ASTM F1554 5/8"" Anchor Bolt",SAE J429 Grade 2,16.342
108,"ASTM A449 1/2"" Stud",SAE J429 Grade 8,2.578
151,"SS 1/2"" Flat Washer",ASTM B8 Class 1,0.358
138,SS M12x1.75 Hex Bolt,SAE J429 Grade 5,0.162
146,"ASTM A502 1/2"" Solid Rivet",ASTM A307 Grade B,11.562
97,SS M10x1.5 Hex Bolt,SAE J429 Grade 5,6.627
40,"SS 3/4"" Flat Washer",ASTM F1554 Grade 36,9.629
9,"SS 1/2"" Flat Washer",ASTM B8M Class 2,10.027
157,"ASTM A502 1/2"" Solid Rivet",ASTM A490,0.316
21,ASTM A307 M12 All Thread Rod,SAE Grade 5,2.81
189,SS M16x2.0 Hex Bolt,ASTM A490,3.624
47,"SS 3/8""-16 Hex Bolt",ASTM A354 Grade BD,18.064
79,"ASTM F1554 5/8"" Anchor Bolt",ASTM A354 Grade BC,18.296
5,"ASTM A502 1/2"" Solid Rivet",SAE Grade 5,19.254
17,"A563 3/4"" Heavy Hex Nut",SAE J429 Grade 5,10.424
170,"ASTM F1554 5/8"" Anchor Bolt",ASTM A354 Grade BC,2.75
141,SS M10x1.5 Hex Bolt,SAE Grade 5,2.879
121,SS M16x2.0 Hex Bolt,ASTM A307 Grade B,19.791
132,ASTM A307 M12 All Thread Rod,ASTM A307 Grade A,3.557
162,"Aluminum 3/4"" Turnbuckle",ASTM A354 Grade BC,3.596
173,"SS 1/4""-20 Hex Bolt",ASTM A490,16.332
1,"SS 3/4""-10 Hex Bolt",SAE Grade 8,18.232
31,"SS 3/8""-16 Hex Bolt",SAE J429 Grade 2,7.638
125,"ASTM F1554 3/4"" Anchor Bolt",ASTM B8M Class 2,9.796
18,"A563 3/4"" Heavy Hex Nut",SAE J429 Grade 8,8.579
35,"ASTM A449 3/4"" Stud",SAE J429 Grade 5,8.045
53,SS M10x1.5 Hex Bolt,ASTM A490,16.643
178,"ASTM F1554 3/4"" Anchor Bolt",ASTM A490,6.083
82,ASTM A307 M12 All Thread Rod,ASTM F1554 Grade 55,9.61
24,"SS 1""-8 Hex Bolt",ASTM F1554 Grade 36,0.94
167,"SS 5/8""-11 Hex Bolt",ASTM F1554 Grade 55,1.487
135,"SS 3/8""-16 Hex Bolt",ASTM A307 Grade B,15.99
104,SS M8x1.25 Hex Bolt,SAE J429 Grade 5,19.624
96,"A563 3/4"" Heavy Hex Nut",SAE J429 Grade 2,16.236
103,"A563 3/4"" Heavy Hex Nut",ASTM A354 Grade BD,4.084
64,"ASTM A449 3/4"" Stud",ASTM F1554 Grade 105,7.045
156,"ASTM F1554 5/8"" Anchor Bolt",ASTM A354 Grade BC,17.283
25,"ASTM F1554 5/8"" Anchor Bolt",ASTM A490,14.199
144,"SS 3/4"" Flat Washer",ASTM A307 Grade B,14.242
196,"SS 3/4"" Flat Washer",SAE Grade 8,1.176
127,"SS 1/2"" Flat Washer",ASTM F1554 Grade 36,1.015
24,"A563 5/8"" Heavy Hex Nut",ASTM B8 Class 1,1.004
33,"Aluminum 3/4"" Turnbuckle",ASTM B8 Class 1,15.892
175,"SS 1/4""-20 Hex Bolt",ASTM F1554 Grade 55,19.438
130,SS M16x2.0 Hex Bolt,SAE J429 Grade 8,4.38
121,SS M8x1.25 Hex Bolt,SAE J429 Grade 5,3.476
136,"SS 1""-8 Hex Bolt",SAE J429 Grade 8,15.484
50,"Steel 5/8"" Turnbuckle",ASTM B8M Class 2,14.067
46,"Steel 5/8"" Turnbuckle",ASTM A490,17.154
57,ASTM A307 M12 All Thread Rod,ASTM F1554 Grade 105,4.851
187,ASTM A307 M12 All Thread Rod,ASTM A354 Grade BD,5.516
132,"ASTM A307 1/2"" All Thread Rod",ASTM F1554 Grade 36,2.744
12,"SS 1/4""-20 Hex Bolt",ASTM A307 Grade A,12.775
177,"ASTM A307 3/4"" All Thread Rod",SAE J429 Grade 2,15.241
116,"SS 3/4""-10 Hex Bolt",ASTM A325,5.068
100,"SS 3/4"" Flat Washer",ASTM A325,13.614
59,"ASTM A307 1/2"" All Thread Rod",ASTM A307 Grade A,2.404
93,"A563 5/8"" Heavy Hex Nut",ASTM B8M Class 2,3.235
73,"SS 5/8""-11 Hex Bolt",SAE Grade 5,16.793
46,SS M12x1.75 Hex Bolt,SAE J429 Grade 8,9.114
104,SS M8x1.25 Hex Bolt,ASTM B8 Class 1,17.538
64,"SS 3/8""-16 Hex Bolt",ASTM F1554 Grade 55,9.001
161,"ASTM A307 1/2"" All Thread Rod",SAE J429 Grade 2,15.973
136,SS M12x1.75 Hex Bolt,ASTM F1554 Grade 105,8.812
