Quantity,Material with Thickness,Grade,Length (ft)
45,W8x18 Wide Flange Beam,ASTM A572 Grade 50,22.59
47,HSS4x4x1/4 Hollow Structural Section,ASTM A992,15.08
6,C8x11.5 Channel,ASTM A709 Grade 50,21.14
48,L3x3x1/4 Angle,ASTM A36,39.48
20,W10x22 Wide Flange Beam,ASTM A709 Grade 50,27.25
50,HSS4x4x1/4 Hollow Structural Section,ASTM A992,5.07
13,HSS4x4x1/4 Hollow Structural Section,ASTM A588,24.3
3,C10x15.3 Channel,ASTM A500 Grade B,13.02
30,PL 3/8 Steel Plate,ASTM A572 Grade 50,1.01
16,L4x4x3/8 Angle,ASTM A572 Grade 50,19.74
35,W8x18 Wide Flange Beam,ASTM A36,6.95
45,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,7.61
26,L3x3x1/4 Angle,ASTM A588,4.19
38,PL 1/2 Steel Plate,ASTM A992,9.13
4,L3x3x1/4 Angle,ASTM A572 Grade 50,2.02
31,W8x18 Wide Flange Beam,ASTM A500 Grade C,32.06
38,W10x22 Wide Flange Beam,ASTM A500 Grade C,11.53
10,C8x11.5 Channel,ASTM A572 Grade 50,21.65
33,HSS4x4x1/4 Hollow Structural Section,ASTM A992,7.78
4,C8x11.5 Channel,ASTM A709 Grade 50,31.89
23,C10x15.3 Channel,ASTM A992,4.24
7,PL 3/8 Steel Plate,ASTM A500 Grade B,8.89
48,L3x3x1/4 Angle,ASTM A588,15.32
13,L3x3x1/4 Angle,ASTM A500 Grade B,26.06
9,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,36.63
11,W8x18 Wide Flange Beam,ASTM A500 Grade B,1.38
45,W8x18 Wide Flange Beam,ASTM A709 Grade 50,24.01
2,C10x15.3 Channel,ASTM A588,6.74
19,HSS6x6x3/8 Hollow Structural Section,ASTM A36,33.79
7,W8x18 Wide Flange Beam,ASTM A572 Grade 50,1.51
14,L4x4x3/8 Angle,ASTM A572 Grade 50,29.5
16,L4x4x3/8 Angle,ASTM A588,24.98
14,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,10.64
49,C8x11.5 Channel,ASTM A36,38.23
48,C10x15.3 Channel,ASTM A992,29.35
42,HSS6x6x3/8 Hollow Structural Section,ASTM A992,12.2
12,W8x18 Wide Flange Beam,ASTM A588,25.19
44,W10x22 Wide Flange Beam,ASTM A500 Grade B,31.41
14,W10x22 Wide Flange Beam,ASTM A500 Grade C,21.77
47,HSS6x6x3/8 Hollow Structural Section,ASTM A992,39.08
38,PL 3/8 Steel Plate,ASTM A572 Grade 50,9.25
42,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,27.91
50,HSS6x6x3/8 Hollow Structural Section,ASTM A588,19.4
37,C10x15.3 Channel,ASTM A572 Grade 50,26.67
43,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,36.4
9,L3x3x1/4 Angle,ASTM A709 Grade 50,34.63
40,PL 3/8 Steel Plate,ASTM A572 Grade 50,27.09
45,L4x4x3/8 Angle,ASTM A709 Grade 50,18.17
23,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,15.73
33,PL 1/2 Steel Plate,ASTM A588,20.29
24,W8x18 Wide Flange Beam,ASTM A709 Grade 50,1.2
41,W10x22 Wide Flange Beam,ASTM A992,1.58
44,HSS6x6x3/8 Hollow Structural Section,ASTM A992,8.4
22,PL 1/2 Steel Plate,ASTM A588,32.99
48,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,33.46
40,HSS6x6x3/8 Hollow Structural Section,ASTM A588,32.51
38,PL 1/2 Steel Plate,ASTM A36,8.47
24,W8x18 Wide Flange Beam,ASTM A709 Grade 50,29.78
19,W10x22 Wide Flange Beam,ASTM A709 Grade 50,11.29
23,PL 3/8 Steel Plate,ASTM A588,16.55
45,L3x3x1/4 Angle,ASTM A992,29.98
23,W10x22 Wide Flange Beam,ASTM A709 Grade 50,36.35
34,W10x22 Wide Flange Beam,ASTM A709 Grade 50,19.92
15,C8x11.5 Channel,ASTM A588,35.24
2,L4x4x3/8 Angle,ASTM A500 Grade C,27.64
33,C10x15.3 Channel,ASTM A500 Grade B,35.95
20,W8x18 Wide Flange Beam,ASTM A709 Grade 50,23.74
10,C10x15.3 Channel,ASTM A500 Grade B,11.33
36,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,34.94
23,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,13.08
11,C8x11.5 Channel,ASTM A500 Grade C,12.22
20,C8x11.5 Channel,ASTM A992,33.86
30,C8x11.5 Channel,ASTM A992,2.82
44,C10x15.3 Channel,ASTM A992,30.88
6,C8x11.5 Channel,ASTM A992,14.31
38,PL 3/8 Steel Plate,ASTM A572 Grade 50,38.38
40,HSS4x4x1/4 Hollow Structural Section,ASTM A588,33.65
32,C10x15.3 Channel,ASTM A588,12.36
9,L3x3x1/4 Angle,ASTM A500 Grade B,22.32
5,PL 3/8 Steel Plate,ASTM A992,24.49
31,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,5.01
50,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,31.53
1,HSS4x4x1/4 Hollow Structural Section,ASTM A992,1.96
42,PL 1/2 Steel Plate,ASTM A500 Grade C,18.1
12,W10x22 Wide Flange Beam,ASTM A500 Grade C,39.21
46,W8x18 Wide Flange Beam,ASTM A709 Grade 50,31.06
14,C10x15.3 Channel,ASTM A709 Grade 50,8.87
25,C10x15.3 Channel,ASTM A572 Grade 50,34.12
14,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,39.64
19,HSS4x4x1/4 Hollow Structural Section,ASTM A992,36.14
3,L4x4x3/8 Angle,ASTM A572 Grade 50,8.68
36,C8x11.5 Channel,ASTM A500 Grade C,11.46
13,L4x4x3/8 Angle,ASTM A572 Grade 50,19.18
12,C8x11.5 Channel,ASTM A588,6.47
38,W10x22 Wide Flange Beam,ASTM A36,23.8
9,PL 3/8 Steel Plate,ASTM A709 Grade 50,11.65
8,PL 3/8 Steel Plate,ASTM A500 Grade B,14.67
27,C8x11.5 Channel,ASTM A36,29.36
10,HSS6x6x3/8 Hollow Structural Section,ASTM A588,39.96
35,C8x11.5 Channel,ASTM A588,4.18
40,PL 3/8 Steel Plate,ASTM A992,15.74
23,C8x11.5 Channel,ASTM A36,25.88
2,HSS4x4x1/4 Hollow Structural Section,ASTM A36,30.23
1,L4x4x3/8 Angle,ASTM A709 Grade 50,35.74
44,W10x22 Wide Flange Beam,ASTM A572 Grade 50,18.23
11,W8x18 Wide Flange Beam,ASTM A992,24.3
34,PL 1/2 Steel Plate,ASTM A572 Grade 50,30.2
11,PL 3/8 Steel Plate,ASTM A709 Grade 50,26.85
35,L3x3x1/4 Angle,ASTM A588,13.69
30,L4x4x3/8 Angle,ASTM A36,25.51
10,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,17.0
26,W8x18 Wide Flange Beam,ASTM A588,35.4
16,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,15.55
46,L4x4x3/8 Angle,ASTM A992,33.61
45,PL 1/2 Steel Plate,ASTM A588,28.92
41,C10x15.3 Channel,ASTM A36,37.79
35,W8x18 Wide Flange Beam,ASTM A572 Grade 50,26.2
47,C10x15.3 Channel,ASTM A992,38.87
7,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,1.47
11,L4x4x3/8 Angle,ASTM A588,18.72
9,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,20.64
33,W10x22 Wide Flange Beam,ASTM A500 Grade B,36.64
24,C10x15.3 Channel,ASTM A500 Grade C,10.4
2,PL 1/2 Steel Plate,ASTM A572 Grade 50,10.14
24,L4x4x3/8 Angle,ASTM A992,4.91
12,C10x15.3 Channel,ASTM A500 Grade B,23.57
22,C10x15.3 Channel,ASTM A500 Grade B,37.76
40,W10x22 Wide Flange Beam,ASTM A36,17.06
40,L4x4x3/8 Angle,ASTM A500 Grade B,16.58
16,C10x15.3 Channel,ASTM A709 Grade 50,3.48
1,L3x3x1/4 Angle,ASTM A36,6.44
17,W10x22 Wide Flange Beam,ASTM A500 Grade B,9.23
46,W10x22 Wide Flange Beam,ASTM A500 Grade B,23.69
18,PL 3/8 Steel Plate,ASTM A588,12.72
20,W8x18 Wide Flange Beam,ASTM A709 Grade 50,20.64
39,W8x18 Wide Flange Beam,ASTM A500 Grade C,16.49
15,W10x22 Wide Flange Beam,ASTM A36,6.4
8,C10x15.3 Channel,ASTM A500 Grade C,26.79
47,C10x15.3 Channel,ASTM A500 Grade C,16.94
12,L4x4x3/8 Angle,ASTM A36,13.1
17,L4x4x3/8 Angle,ASTM A588,23.81
50,C8x11.5 Channel,ASTM A992,9.42
30,L3x3x1/4 Angle,ASTM A500 Grade C,7.92
10,HSS6x6x3/8 Hollow Structural Section,ASTM A36,39.54
20,W8x18 Wide Flange Beam,ASTM A709 Grade 50,2.3
50,L3x3x1/4 Angle,ASTM A572 Grade 50,33.36
2,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,5.38
19,L3x3x1/4 Angle,ASTM A709 Grade 50,16.37
42,PL 1/2 Steel Plate,ASTM A992,26.69
46,W8x18 Wide Flange Beam,ASTM A992,2.02
15,C10x15.3 Channel,ASTM A709 Grade 50,1.31
14,W10x22 Wide Flange Beam,ASTM A588,7.82
15,PL 3/8 Steel Plate,ASTM A500 Grade C,33.47
45,W8x18 Wide Flange Beam,ASTM A500 Grade B,25.94
34,PL 3/8 Steel Plate,ASTM A36,17.39
35,C8x11.5 Channel,ASTM A500 Grade C,17.22
26,HSS4x4x1/4 Hollow Structural Section,ASTM A36,30.35
13,PL 3/8 Steel Plate,ASTM A500 Grade B,18.36
6,C8x11.5 Channel,ASTM A572 Grade 50,17.73
32,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,33.05
24,C10x15.3 Channel,ASTM A500 Grade C,15.32
43,C10x15.3 Channel,ASTM A572 Grade 50,19.78
10,C8x11.5 Channel,ASTM A588,38.96
27,C10x15.3 Channel,ASTM A572 Grade 50,3.5
7,L4x4x3/8 Angle,ASTM A500 Grade C,7.23
16,W10x22 Wide Flange Beam,ASTM A36,26.33
8,C10x15.3 Channel,ASTM A992,3.53
49,C8x11.5 Channel,ASTM A500 Grade C,20.05
8,L3x3x1/4 Angle,ASTM A572 Grade 50,12.51
50,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,37.36
17,C8x11.5 Channel,ASTM A992,29.84
29,W10x22 Wide Flange Beam,ASTM A992,1.6
1,L3x3x1/4 Angle,ASTM A709 Grade 50,36.55
28,C8x11.5 Channel,ASTM A500 Grade C,19.67
34,HSS4x4x1/4 Hollow Structural Section,ASTM A588,23.84
43,C8x11.5 Channel,ASTM A36,29.61
29,W8x18 Wide Flange Beam,ASTM A500 Grade B,27.6
39,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,30.44
49,PL 1/2 Steel Plate,ASTM A36,5.7
11,PL 1/2 Steel Plate,ASTM A992,6.89
18,HSS4x4x1/4 Hollow Structural Section,ASTM A36,9.76
19,W8x18 Wide Flange Beam,ASTM A709 Grade 50,24.22
2,W8x18 Wide Flange Beam,ASTM A500 Grade C,10.08
10,C10x15.3 Channel,ASTM A36,19.74
11,L3x3x1/4 Angle,ASTM A709 Grade 50,33.69
39,PL 3/8 Steel Plate,ASTM A572 Grade 50,31.95
43,L4x4x3/8 Angle,ASTM A588,2.37
21,W10x22 Wide Flange Beam,ASTM A500 Grade B,12.7
24,W10x22 Wide Flange Beam,ASTM A36,27.05
11,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,1.01
17,C10x15.3 Channel,ASTM A500 Grade B,5.34
23,L4x4x3/8 Angle,ASTM A588,25.04
46,W10x22 Wide Flange Beam,ASTM A992,13.43
44,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,39.89
8,C10x15.3 Channel,ASTM A588,34.25
14,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,4.24
36,PL 1/2 Steel Plate,ASTM A500 Grade B,4.59
47,C10x15.3 Channel,ASTM A500 Grade C,16.32
13,W10x22 Wide Flange Beam,ASTM A572 Grade 50,4.42
31,L3x3x1/4 Angle,ASTM A709 Grade 50,14.01
19,PL 1/2 Steel Plate,ASTM A572 Grade 50,31.66
22,C10x15.3 Channel,ASTM A588,9.73
7,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,2.51
1,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,9.17
39,PL 3/8 Steel Plate,ASTM A500 Grade B,31.91
3,W10x22 Wide Flange Beam,ASTM A572 Grade 50,36.03
47,W10x22 Wide Flange Beam,ASTM A572 Grade 50,20.1
33,L4x4x3/8 Angle,ASTM A500 Grade C,7.89
22,L3x3x1/4 Angle,ASTM A36,24.86
43,L3x3x1/4 Angle,ASTM A36,33.45
28,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,8.77
19,HSS6x6x3/8 Hollow Structural Section,ASTM A992,1.29
12,PL 1/2 Steel Plate,ASTM A588,3.86
39,W10x22 Wide Flange Beam,ASTM A36,4.06
28,C10x15.3 Channel,ASTM A36,28.85
19,C8x11.5 Channel,ASTM A709 Grade 50,9.67
48,W10x22 Wide Flange Beam,ASTM A500 Grade C,36.78
23,PL 3/8 Steel Plate,ASTM A500 Grade C,12.04
7,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,31.96
25,L4x4x3/8 Angle,ASTM A500 Grade C,34.48
38,PL 1/2 Steel Plate,ASTM A36,19.51
4,PL 3/8 Steel Plate,ASTM A36,34.76
20,PL 1/2 Steel Plate,ASTM A500 Grade B,38.13
21,L3x3x1/4 Angle,ASTM A709 Grade 50,39.92
12,C10x15.3 Channel,ASTM A500 Grade B,30.86
46,L4x4x3/8 Angle,ASTM A572 Grade 50,20.34
1,W10x22 Wide Flange Beam,ASTM A500 Grade C,6.03
7,C8x11.5 Channel,ASTM A709 Grade 50,13.57
27,HSS6x6x3/8 Hollow Structural Section,ASTM A36,33.35
43,L4x4x3/8 Angle,ASTM A500 Grade C,22.95
17,L4x4x3/8 Angle,ASTM A500 Grade C,8.64
43,L3x3x1/4 Angle,ASTM A500 Grade C,23.07
46,C10x15.3 Channel,ASTM A992,28.43
50,L4x4x3/8 Angle,ASTM A992,27.71
21,L3x3x1/4 Angle,ASTM A709 Grade 50,5.54
42,W10x22 Wide Flange Beam,ASTM A500 Grade B,19.25
19,HSS4x4x1/4 Hollow Structural Section,ASTM A36,21.18
19,W10x22 Wide Flange Beam,ASTM A588,33.46
20,C8x11.5 Channel,ASTM A36,17.05
8,L3x3x1/4 Angle,ASTM A709 Grade 50,25.72
15,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,34.15
41,W8x18 Wide Flange Beam,ASTM A992,14.6
31,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,32.75
18,PL 3/8 Steel Plate,ASTM A709 Grade 50,27.11
10,L3x3x1/4 Angle,ASTM A588,35.24
39,W8x18 Wide Flange Beam,ASTM A992,11.63
37,C8x11.5 Channel,ASTM A572 Grade 50,6.35
15,PL 1/2 Steel Plate,ASTM A992,6.21
25,C8x11.5 Channel,ASTM A500 Grade C,15.68
30,L3x3x1/4 Angle,ASTM A588,35.3
45,HSS6x6x3/8 Hollow Structural Section,ASTM A992,30.05
8,L3x3x1/4 Angle,ASTM A992,24.42
45,PL 3/8 Steel Plate,ASTM A36,38.66
45,C10x15.3 Channel,ASTM A36,30.59
30,L4x4x3/8 Angle,ASTM A500 Grade C,15.38
20,W10x22 Wide Flange Beam,ASTM A588,12.88
15,PL 3/8 Steel Plate,ASTM A500 Grade B,15.87
28,W10x22 Wide Flange Beam,ASTM A572 Grade 50,11.15
25,PL 1/2 Steel Plate,ASTM A992,3.84
31,C10x15.3 Channel,ASTM A500 Grade C,5.67
29,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,6.51
7,C8x11.5 Channel,ASTM A709 Grade 50,19.27
1,PL 1/2 Steel Plate,ASTM A992,26.0
50,PL 3/8 Steel Plate,ASTM A36,31.9
44,W10x22 Wide Flange Beam,ASTM A709 Grade 50,21.39
46,PL 3/8 Steel Plate,ASTM A36,35.92
2,W8x18 Wide Flange Beam,ASTM A500 Grade B,39.37
36,C8x11.5 Channel,ASTM A500 Grade C,38.29
12,PL 3/8 Steel Plate,ASTM A588,19.89
48,W10x22 Wide Flange Beam,ASTM A500 Grade B,33.88
36,L3x3x1/4 Angle,ASTM A500 Grade C,26.93
28,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,39.48
20,L4x4x3/8 Angle,ASTM A36,15.42
49,L4x4x3/8 Angle,ASTM A709 Grade 50,7.58
29,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,1.47
43,HSS4x4x1/4 Hollow Structural Section,ASTM A36,12.73
16,W10x22 Wide Flange Beam,ASTM A500 Grade C,37.74
20,C8x11.5 Channel,ASTM A709 Grade 50,32.72
49,W10x22 Wide Flange Beam,ASTM A709 Grade 50,31.86
48,PL 3/8 Steel Plate,ASTM A572 Grade 50,30.85
18,PL 3/8 Steel Plate,ASTM A709 Grade 50,25.14
21,C10x15.3 Channel,ASTM A500 Grade B,12.32
31,HSS6x6x3/8 Hollow Structural Section,ASTM A36,19.82
46,PL 1/2 Steel Plate,ASTM A36,8.07
5,C8x11.5 Channel,ASTM A500 Grade C,8.37
11,PL 1/2 Steel Plate,ASTM A572 Grade 50,25.2
38,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,12.01
17,C10x15.3 Channel,ASTM A572 Grade 50,13.47
19,PL 1/2 Steel Plate,ASTM A588,37.92
1,PL 1/2 Steel Plate,ASTM A500 Grade C,4.73
20,PL 1/2 Steel Plate,ASTM A588,7.78
41,HSS6x6x3/8 Hollow Structural Section,ASTM A588,25.55
11,L4x4x3/8 Angle,ASTM A500 Grade C,23.12
1,PL 3/8 Steel Plate,ASTM A709 Grade 50,1.93
47,W8x18 Wide Flange Beam,ASTM A572 Grade 50,3.14
7,L4x4x3/8 Angle,ASTM A572 Grade 50,17.69
1,L3x3x1/4 Angle,ASTM A588,39.41
31,C8x11.5 Channel,ASTM A36,32.78
40,L3x3x1/4 Angle,ASTM A588,32.18
7,C8x11.5 Channel,ASTM A500 Grade B,21.01
12,HSS6x6x3/8 Hollow Structural Section,ASTM A36,21.24
9,L3x3x1/4 Angle,ASTM A709 Grade 50,21.06
33,PL 1/2 Steel Plate,ASTM A572 Grade 50,39.27
37,PL 3/8 Steel Plate,ASTM A500 Grade B,25.33
2,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,24.61
20,W8x18 Wide Flange Beam,ASTM A500 Grade B,9.46
44,C10x15.3 Channel,ASTM A572 Grade 50,25.04
12,W10x22 Wide Flange Beam,ASTM A709 Grade 50,26.54
32,L4x4x3/8 Angle,ASTM A36,32.21
39,W8x18 Wide Flange Beam,ASTM A709 Grade 50,21.57
32,W10x22 Wide Flange Beam,ASTM A500 Grade B,35.75
7,W8x18 Wide Flange Beam,ASTM A500 Grade C,12.19
6,C8x11.5 Channel,ASTM A992,28.57
26,L3x3x1/4 Angle,ASTM A36,37.47
50,PL 1/2 Steel Plate,ASTM A500 Grade C,25.39
13,PL 1/2 Steel Plate,ASTM A36,17.05
45,HSS6x6x3/8 Hollow Structural Section,ASTM A36,30.25
4,W8x18 Wide Flange Beam,ASTM A992,23.29
37,W10x22 Wide Flange Beam,ASTM A588,26.18
40,PL 1/2 Steel Plate,ASTM A588,35.41
19,W8x18 Wide Flange Beam,ASTM A572 Grade 50,39.0
17,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,15.88
42,HSS4x4x1/4 Hollow Structural Section,ASTM A36,13.37
37,HSS6x6x3/8 Hollow Structural Section,ASTM A588,4.99
12,C10x15.3 Channel,ASTM A572 Grade 50,22.28
23,L4x4x3/8 Angle,ASTM A572 Grade 50,33.89
18,PL 1/2 Steel Plate,ASTM A36,38.26
28,PL 1/2 Steel Plate,ASTM A588,35.67
27,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,9.74
1,HSS6x6x3/8 Hollow Structural Section,ASTM A36,3.01
7,W10x22 Wide Flange Beam,ASTM A588,5.88
44,C8x11.5 Channel,ASTM A500 Grade B,15.7
31,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,20.22
49,L3x3x1/4 Angle,ASTM A500 Grade C,17.5
4,PL 3/8 Steel Plate,ASTM A500 Grade C,26.4
36,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,34.2
18,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,19.07
50,PL 1/2 Steel Plate,ASTM A709 Grade 50,34.78
44,W10x22 Wide Flange Beam,ASTM A992,19.26
3,W10x22 Wide Flange Beam,ASTM A709 Grade 50,22.61
35,C8x11.5 Channel,ASTM A992,23.7
15,C8x11.5 Channel,ASTM A500 Grade C,39.02
5,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,16.96
34,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,30.12
15,W10x22 Wide Flange Beam,ASTM A500 Grade B,32.01
28,W10x22 Wide Flange Beam,ASTM A500 Grade C,36.16
7,HSS4x4x1/4 Hollow Structural Section,ASTM A36,35.92
43,L3x3x1/4 Angle,ASTM A36,16.34
46,L3x3x1/4 Angle,ASTM A709 Grade 50,17.46
33,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,10.67
15,L3x3x1/4 Angle,ASTM A588,30.19
44,PL 3/8 Steel Plate,ASTM A500 Grade B,26.46
19,PL 1/2 Steel Plate,ASTM A709 Grade 50,14.27
1,C10x15.3 Channel,ASTM A36,17.83
41,W10x22 Wide Flange Beam,ASTM A36,8.09
4,C8x11.5 Channel,ASTM A572 Grade 50,1.54
41,PL 1/2 Steel Plate,ASTM A572 Grade 50,15.96
27,L3x3x1/4 Angle,ASTM A572 Grade 50,36.28
15,L3x3x1/4 Angle,ASTM A500 Grade B,24.82
4,L3x3x1/4 Angle,ASTM A36,20.72
14,PL 1/2 Steel Plate,ASTM A36,35.72
37,PL 3/8 Steel Plate,ASTM A588,37.84
12,L4x4x3/8 Angle,ASTM A588,13.85
42,L3x3x1/4 Angle,ASTM A572 Grade 50,21.03
33,L4x4x3/8 Angle,ASTM A572 Grade 50,11.8
49,PL 1/2 Steel Plate,ASTM A588,34.75
9,W10x22 Wide Flange Beam,ASTM A992,19.02
31,L4x4x3/8 Angle,ASTM A572 Grade 50,14.04
42,C10x15.3 Channel,ASTM A709 Grade 50,37.6
6,PL 3/8 Steel Plate,ASTM A500 Grade C,6.18
30,W10x22 Wide Flange Beam,ASTM A588,7.16
37,C10x15.3 Channel,ASTM A500 Grade B,26.34
1,W10x22 Wide Flange Beam,ASTM A709 Grade 50,14.36
40,L3x3x1/4 Angle,ASTM A36,25.25
31,L4x4x3/8 Angle,ASTM A709 Grade 50,31.56
43,C8x11.5 Channel,ASTM A588,14.41
18,PL 1/2 Steel Plate,ASTM A709 Grade 50,33.46
17,L4x4x3/8 Angle,ASTM A588,33.18
2,PL 3/8 Steel Plate,ASTM A709 Grade 50,39.51
49,PL 3/8 Steel Plate,ASTM A500 Grade B,30.93
20,W10x22 Wide Flange Beam,ASTM A572 Grade 50,5.94
10,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,12.74
12,C10x15.3 Channel,ASTM A572 Grade 50,13.82
18,PL 1/2 Steel Plate,ASTM A572 Grade 50,17.42
14,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,34.79
50,C10x15.3 Channel,ASTM A500 Grade C,23.32
43,L4x4x3/8 Angle,ASTM A572 Grade 50,39.92
21,L3x3x1/4 Angle,ASTM A500 Grade B,14.63
19,C10x15.3 Channel,ASTM A588,17.84
27,W8x18 Wide Flange Beam,ASTM A588,21.26
22,C8x11.5 Channel,ASTM A992,31.86
34,HSS4x4x1/4 Hollow Structural Section,ASTM A992,12.53
22,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,15.45
2,PL 1/2 Steel Plate,ASTM A992,2.46
23,L4x4x3/8 Angle,ASTM A588,2.68
10,C10x15.3 Channel,ASTM A572 Grade 50,38.27
3,L3x3x1/4 Angle,ASTM A500 Grade C,4.34
7,L3x3x1/4 Angle,ASTM A992,14.49
8,C10x15.3 Channel,ASTM A500 Grade C,35.86
14,HSS6x6x3/8 Hollow Structural Section,ASTM A36,37.56
45,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,29.78
15,C8x11.5 Channel,ASTM A572 Grade 50,16.31
5,C10x15.3 Channel,ASTM A572 Grade 50,32.14
4,C10x15.3 Channel,ASTM A36,5.27
30,C10x15.3 Channel,ASTM A588,26.73
16,C8x11.5 Channel,ASTM A500 Grade C,28.83
4,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,4.77
19,C8x11.5 Channel,ASTM A588,38.47
44,W8x18 Wide Flange Beam,ASTM A36,7.19
38,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,21.88
34,HSS4x4x1/4 Hollow Structural Section,ASTM A992,24.26
13,C8x11.5 Channel,ASTM A572 Grade 50,2.76
26,C8x11.5 Channel,ASTM A709 Grade 50,30.26
8,PL 1/2 Steel Plate,ASTM A709 Grade 50,34.16
16,L4x4x3/8 Angle,ASTM A500 Grade C,3.43
22,PL 1/2 Steel Plate,ASTM A36,3.28
33,C10x15.3 Channel,ASTM A709 Grade 50,38.47
45,C10x15.3 Channel,ASTM A992,36.28
9,W10x22 Wide Flange Beam,ASTM A500 Grade B,8.08
4,PL 1/2 Steel Plate,ASTM A500 Grade B,16.17
47,C10x15.3 Channel,ASTM A36,17.87
16,L3x3x1/4 Angle,ASTM A500 Grade B,29.01
22,L3x3x1/4 Angle,ASTM A572 Grade 50,16.82
4,PL 3/8 Steel Plate,ASTM A36,15.8
41,W10x22 Wide Flange Beam,ASTM A500 Grade C,19.92
14,HSS6x6x3/8 Hollow Structural Section,ASTM A992,1.3
33,L4x4x3/8 Angle,ASTM A36,28.35
47,L4x4x3/8 Angle,ASTM A500 Grade B,8.14
38,L3x3x1/4 Angle,ASTM A500 Grade C,12.81
18,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,5.1
6,L3x3x1/4 Angle,ASTM A709 Grade 50,33.14
34,L4x4x3/8 Angle,ASTM A992,29.44
28,PL 1/2 Steel Plate,ASTM A36,31.23
43,C10x15.3 Channel,ASTM A572 Grade 50,8.07
16,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,27.44
21,PL 1/2 Steel Plate,ASTM A572 Grade 50,32.02
39,HSS6x6x3/8 Hollow Structural Section,ASTM A588,33.71
37,W8x18 Wide Flange Beam,ASTM A992,25.98
42,PL 3/8 Steel Plate,ASTM A992,14.15
10,W8x18 Wide Flange Beam,ASTM A588,23.74
18,W10x22 Wide Flange Beam,ASTM A709 Grade 50,36.81
15,HSS6x6x3/8 Hollow Structural Section,ASTM A992,10.95
42,PL 1/2 Steel Plate,ASTM A500 Grade B,30.38
35,L4x4x3/8 Angle,ASTM A572 Grade 50,32.03
46,W8x18 Wide Flange Beam,ASTM A992,1.78
44,C8x11.5 Channel,ASTM A588,37.03
27,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,14.3
3,L3x3x1/4 Angle,ASTM A709 Grade 50,9.21
40,C8x11.5 Channel,ASTM A588,27.54
46,L3x3x1/4 Angle,ASTM A709 Grade 50,30.96
32,W10x22 Wide Flange Beam,ASTM A588,10.92
